GeneSymbol	counts
EXOC5	10
AP5M1	385
NAA30	182
CCDC198	0
SLC35F4	0
ARMH4	1
ACTR10	3
TRK-CTT1-1	0
PSMA3	79
PSMA3-AS1	895
ARID4A	7
TOMM20L	1
TIMM9	4
KIAA0586	1
DACT1	60
LINC01500	992
DAAM1	27
GPR135	99
L3HYPDH	31
JKAMP	2
CCDC175	0
RTN1	42
MIR5586	0
LRRC9	0
PCNX4	8
DHRS7	178
PPM1A	18
C14orf39	0
SIX6	0
NA	0
SALRNA1	0
SIX1	515
SIX4	11
MNAT1	135
TRMT5	64
SLC38A6	544
TMEM30B	1323
PRKCH	5
LINC01303	0
LINC03033	5
HIF1A-AS1	0
HIF1A	405
HIF1A-AS2	0
SNAPC1	2
SYT16	1
LINC00643	0
LINC00644	0
KCNH5	0
RHOJ	0
GPHB5	0
PPP2R5E	10
WDR89	1
SGPP1	541
SYNE2	11
MIR548H1	0
ESR2	1
TEX21P	7
MTHFD1	7
ZBTB25	4
AKAP5	12
ZBTB1	937
HSPA2-AS1	1
HSPA2	93
PPP1R36	0
PLEKHG3	27
SPTB	57
MIR7855	0
CHURC1-FNTB	0
CHURC1	0
GPX2	5
RAB15	0
FNTB	3
MAX	84
MIR4706	0
LOC100506321	0
LINC02324	0
MIR4708	0
FUT8-AS1	132
FUT8	237
MIR625	0
NA	0
CCDC196	0
GPHN	45
GARIN2	1
PALS1	4
ATP6V1D	15
EIF2S1	112
PLEK2	1
MIR5694	0
TMEM229B	3
PLEKHH1	1
PIGH	23
ARG2	34
VTI1B	3
RDH11	25
RDH12	0
ZFYVE26	1113
RAD51B	4
LOC100996664	0
ZFP36L1	27008
NA	0
ACTN1	2112
ACTN1-DT	0
DCAF5	9
EXD2	1
GALNT16	60
ERH	15
SLC39A9	45
NA	0
PLEKHD1	12
CCDC177	5
SUSD6	1533
LOC100289511	18
SRSF5	5767
SLC10A1	0
SMOC1	2
SLC8A3	3
ADAM21P1	0
COX16	35
SYNJ2BP-COX16	0
NA	0
SYNJ2BP	3
ADAM21	0
ADAM20P1	0
ADAM20	0
MED6	4
TTC9-DT	0
TTC9	148
LINC01269	0
MAP3K9	7
PCNX1	20
LOC105370706	0
SIPA1L1	9
SNORD56B	0
LOC145474	109
RGS6	0
MIR7843	0
DPF3	15
DCAF4	8
TRC-GCA8-1	0
ZFYVE1	179
RBM25	2760
PSEN1	189
PAPLN	5
PAPLN-AS1	0
NUMB	169
LOC101928143	0
HEATR4	1
RIOX1	101
ACOT1	118
ACOT2	106
ACOT4	0
ACOT6	1
DNAL1	78
PNMA1	119
MIDEAS	233
MIR4505	0
MIDEAS-AS1	0
PTGR2	188
ZNF410	281
FAM161B	1
COQ6	63
ENTPD5	19
BBOF1	45
ALDH6A1	4
LIN52	0
VSX2	0
ABCD4	12
VRTN	0
SYNDIG1L	53
NPC2	157
MIR4709	0
ISCA2	4
LTBP2	30
AREL1	41
FCF1	3
YLPM1	8
PROX2	0
DLST	13
RPS6KL1	0
PGF	62
EIF2B2	10
MLH3	2
ACYP1	122
ZC2HC1C	3
NEK9	95
TMED10	1778
FOS	117
LINC01220	0
JDP2-AS1	0
JDP2	42
BATF	19
FLVCR2-AS1	0
FLVCR2	1
NA	0
ERG28	11
TTLL5	5
TGFB3	3
IFT43	11
GPATCH2L	8
ESRRB	0
VASH1	12
VASH1-AS1	1
ANGEL1	11
LRRC74A	0
IRF2BPL	1612
LOC105370579	1
LINC02288	0
LINC02289	0
CIPC	665
ZDHHC22	0
TMEM63C	117
NGB	0
MIR1260A	0
POMT2	166
GSTZ1	3
TMED8	15
SAMD15	1
NOXRED1	0
VIPAS39	393
AHSA1	6
ISM2	0
SPTLC2	997
ALKBH1	5
SLIRP	599
SNW1	4
C14orf178	85
ADCK1	61
NRXN3	2
DIO2	2
DIO2-AS1	0
CEP128	64
TSHR	0
GTF2A1	10
SNORA79	148
STON2	291
LINC02308	0
SEL1L	16
LINC01467	0
LINC00911	0
FLRT2	25
LINC02328	0
LINC01148	0
GALC	1
GPR65	6
LINC01147	0
HISLA	0
KCNK10	0
SPATA7	174
PTPN21	2
ZC3H14	1
EML5	7
TTC8	2
FOXN3	116
FOXN3-AS1	3
FOXN3-AS2	13
EFCAB11	1
TDP1	0
NA	0
KCNK13	1
PSMC1	2
NRDE2	71
CALM1	77
LINC00642	0
TTC7B	2
TTC7B-AS1	0
RPS6KA5	15
DGLUCY	124
SNORA11B	0
GPR68	4
CCDC88C	59
PPP4R3A	11
CATSPERB	0
TC2N	5
FBLN5	2485
TRIP11	10
ATXN3	9
NDUFB1	118
CPSF2	58
SLC24A4	56
NA	0
RIN3	14
LGMN	47
GOLGA5	505
CHGA	0
ITPK1	12
ITPK1-AS1	1
MOAP1	459
LYSET	3
GON7	5
UBR7	10
BTBD7	23
UNC79	2
COX8C	0
PRIMA1	11
FAM181A-AS1	0
FAM181A	0
ASB2	140
MIR4506	0
CCDC197	1
OTUB2	1
DDX24	2201
IFI27L1	11
IFI27	914
IFI27L2	10
PPP4R4	1
SERPINA10	0
SERPINA6	3
SERPINA2	0
SERPINA1	146
SERPINA11	0
SERPINA9	2
SERPINA12	0
SERPINA4	0
SERPINA5	3
SERPINA3	332
SERPINA13P	0
GSC	0
DICER1	4
MIR3173	0
DICER1-AS1	0
CLMN	2
LINC02292	0
NA	243
SYNE3	8
NA	0
SNHG10	11
SCARNA13	0
GLRX5	29
TCL6	0
TCL1B	0
TCL1A	37
TUNAR	4
C14orf132	2
BDKRB2	2
BDKRB1	0
ATG2B	7
GSKIP	5
AK7	2
PAPOLA-DT	0
PAPOLA	4
VRK1	1
LINC00618	0
LINC02325	0
LINC02291	0
LINC01550	2
LINC02914	0
BCL11B	1
SETD3	20
CCNK	2378
CCDC85C	4
HHIPL1	46
CYP46A1	0
EML1	8
EVL	49
MIR151B	0
MIR342	0
DEGS2	0
YY1	12
MIR6764	0
SLC25A29	12
MIR345	0
SLC25A47	0
WARS1	368
WDR25	0
BEGAIN	1
LINC00523	0
DLK1	0
MIR2392	0
MEG3	5
MIR770	0
MIR493	0
MIR337	0
MIR665	0
RTL1	88
MIR431	0
MIR433	0
MIR127	0
MIR432	0
MIR136	0
MEG8	170
SNORD112	0
MIR370	0
SNORD113-1	0
SNORD113-2	0
SNORD113-3	0
SNORD113-4	0
SNORD113-5	0
SNORD113-6	0
SNORD113-7	0
SNORD113-8	0
SNORD113-9	0
SNORD114-1	0
SNORD114-2	0
SNORD114-3	0
SNORD114-4	0
SNORD114-5	0
SNORD114-6	0
SNORD114-7	0
SNORD114-8	0
SNORD114-9	0
SNORD114-10	0
NA	0
SNORD114-11	0
SNORD114-12	0
SNORD114-13	0
SNORD114-14	0
SNORD114-15	0
SNORD114-16	0
SNORD114-17	0
SNORD114-18	0
SNORD114-19	0
SNORD114-20	0
SNORD114-21	0
SNORD114-22	0
SNORD114-23	0
SNORD114-24	0
SNORD114-25	0
SNORD114-26	0
SNORD114-27	0
SNORD114-28	0
SNORD114-29	0
SNORD114-30	0
SNORD114-31	0
MIR379	0
MIR411	0
MIR299	0
MIR380	0
MIR1197	0
MIR323A	0
MIR758	0
MIR329-1	0
MIR329-2	0
MIR494	0
MIR1193	0
MIR543	0
MIR495	0
MIR376C	0
MIR376A2	0
MIR654	0
MIR376B	0
MIR376A1	0
MIR300	0
MIR1185-1	0
MIR1185-2	0
MIR381HG	0
MIR381	0
MIR487B	0
MIR539	0
MIR889	0
MIR544A	0
MIR655	0
MIR487A	0
MIR382	0
MIR134	0
MIR668	0
MIR485	0
MIR323B	0
MIR154	0
MIR496	0
MIR377	0
MIR541	0
MIR409	0
MIR412	0
MIR369	0
MIR410	0
MIR656	0
MEG9	0
LINC00524	0
DIO3OS	20
MIR1247	0
DIO3	5
LINC00239	0
PPP2R5C	4
DYNC1H1	27
HSP90AA1	9
WDR20	11
MOK	81
TRI-AAT5-4	0
ZNF839	16
CINP	144
TECPR2	3
ANKRD9	214
MIR4309	0
RCOR1	528
TRAF3	793
AMN	0
CDC42BPB	2
EXOC3L4	1
TNFAIP2	1404
LINC00605	0
EIF5	4
SNORA28	5158
MARK3	66
CKB	1294
TRMT61A	100
BAG5	0
COA8	2
KLC1	6
XRCC3	101
ZFYVE21	6
PPP1R13B	7
PPP1R13B-DT	1
ATP5MJ	53
TDRD9	9
RD3L	0
NA	0
ASPG	0
MIR203A	0
MIR203B	0
KIF26A-DT	0
KIF26A	0
NA	0
C14orf180	0
TMEM179	0
MIR4710	0
INF2	23
ADSS1	1
SIVA1	467
AKT1	23
ZBTB42	0
VESTAR	28
CEP170B	2
PLD4	10
AHNAK2	34
CLBA1	7
CDCA4	24
GPR132	33
LINC02298	0
JAG2	5
MIR6765	0
NUDT14	8
BRF1	203
BTBD6	0
PACS2	14
TEX22	7
MTA1-DT	0
MTA1	16
CRIP2	1039
NA	0
CRIP1	4761
TEDC1	1
TMEM121	0
IGHA2	1
IGHE	0
MIR8071-1	0
IGHG4	0
MIR8071-2	0
IGHG2	5
ELK2AP	0
IGHA1	4
IGHG1	7
IGHG3	2
IGHD	1
IGHM	1
MIR4539	0
MIR4507	0
MIR4538	0
MIR4537	0
IGHJ6	0
IGHJ5	2
IGHJ4	0
IGHJ3	0
IGHJ2P	0
IGHJ2	0
IGHJ1	0
IGHD7-27	0
IGHD1-26	0
IGHD6-25	0
IGHD5-24	0
IGHD4-23	0
IGHD3-22	0
IGHD2-21	0
IGHD1-20	0
IGHD6-19	0
IGHD5-18	0
IGHD4-17	0
IGHD3-16	0
IGHD2-15	0
IGHD1-14	0
IGHD6-13	0
IGHD5-12	0
IGHD4-11	0
IGHD3-10	0
IGHD3-9	0
IGHD2-8	0
IGHD1-7	0
IGHD6-6	0
IGHD5-5	0
IGHD4-4	0
IGHD3-3	0
IGHD2-2	0
FAM30A	3
IGHD1-1	0
IGHV6-1	0
IGHVII-1-1	0
ADAM6	0
IGHV1-2	0
IGHVIII-2-1	0
IGHV1-3	0
IGHV4-4	0
IGHV2-5	3
IGHVIII-5-1	0
IGHVIII-5-2	0
IGHV3-6	0
IGHV3-7	0
IGHV3-11	0
IGHVIII-11-1	0
IGHV1-12	0
IGHV3-13	0
IGHVIII-13-1	0
IGHV1-14	0
IGHV3-15	0
IGHVII-15-1	0
IGHV3-16	0
IGHVIII-16-1	0
IGHV1-17	0
IGHV1-18	0
IGHV3-19	0
IGHV3-20	0
IGHVII-20-1	0
IGHV3-21	0
IGHV3-22	0
IGHVII-22-1	0
IGHVIII-22-2	0
IGHV3-23	0
IGHV1-24	0
LINC00226	0
IGHV3-25	0
IGHVIII-25-1	0
IGHV2-26	0
IGHVIII-26-1	0
IGHVII-26-2	0
IGHV7-27	0
IGHV4-28	0
IGHVII-28-1	0
IGHV3-29	0
IGHV3-30	1
IGHVII-30-1	0
IGHV3-30-2	0
IGHV4-31	0
IGHVII-31-1	0
IGHV3-32	0
IGHV3-33	1
IGHVII-33-1	0
IGHV4-34	0
IGHV7-34-1	0
IGHV3-35	0
IGHV3-36	0
IGHV3-37	0
IGHV3-38	0
IGHVIII-38-1	0
IGHV4-39	0
IGHV7-40	0
IGHVII-40-1	0
IGHV3-41	0
IGHV3-42	0
IGHV3-43	0
IGHVII-43-1	0
IGHVIII-44	0
LINC00221	0
IGHVIV-44-1	0
IGHVII-44-2	0
IGHV1-45	0
IGHV1-46	0
IGHV3-47	0
IGHVIII-47-1	0
IGHV3-48	0
IGHV3-49	0
IGHVII-49-1	0
IGHV3-50	0
IGHV5-51	0
IGHV8-51-1	0
IGHVII-51-2	0
IGHV3-52	0
IGHV3-53	0
IGHVII-53-1	0
IGHV3-54	0
IGHV4-55	0
IGHV7-56	0
IGHV3-57	0
IGHV1-58	0
IGHV4-59	0
IGHV3-60	0
IGHVII-60-1	0
IGHV4-61	0
IGHV3-62	0
IGHVII-62-1	0
IGHV3-63	0
IGHV3-64	0
IGHV3-65	0
IGHVII-65-1	0
IGHV3-66	0
IGHV1-67	0
IGHVII-67-1	0
IGHVIII-67-2	0
IGHVIII-67-3	0
IGHVIII-67-4	0
IGHV1-68	0
IGHV1-69	0
IGHV2-70	0
IGHV3-71	0
IGHV3-72	0
IGHV3-73	0
IGHV3-74	0
IGHVII-74-1	0
IGHV3-75	0
IGHV3-76	0
IGHVIII-76-1	0
MIR5195	0
IGHV5-78	0
IGHVII-78-1	0
IGHV3-79	0
IGHV4-80	0
IGHV7-81	0
IGHVIII-82	0
NA	0
NA	0
CHEK2P2	0
NA	0
HERC2P3	86
LOC100996379	0
GOLGA6L6	0
GOLGA8CP	0
NBEAP1	4
MIR3118-2	0
POTEB2	0
MIR5701-1	0
LINC01193	0
LOC646214	237
CXADRP2	15
MIR3118-3	0
POTEB3	0
MIR5701-2	0
LINC02203	0
OR4N4C	3
LOC102724760	0
LOC102724971	0
MIR3118-4	0
POTEB	1
NF1P2	0
MIR5701-3	0
OR4M2-OT1	0
OR4M2	2
OR4N4	0
OR4N3P	5
LOC642131	0
LOC101928039	0
MIR1268A	0
REREP3	1
GOLGA8EP	0
GOLGA6L22	3
HERC2P7	0
HERC2P2	205
GOLGA8IP	0
WHAMMP3	4
LOC283683	1
NA	0
NIPA1	2
NIPA2	168
CYFIP1	28
TUBGCP5	172
GOLGA6L1	0
GOLGA8DP	0
MIR4509-1	0
LOC102723534	0
GOLGA6L26	0
GOLGA8S	1
GOLGA6L2	0
MIR4508	0
MKRN3	34
MAGEL2	10
NDN	154
PWRN2	0
PWRN3	0
PWRN1	0
NPAP1	0
SNRPN	2
SNURF	0
PWARSN	124
SNORD107	0
PWAR5	525
SNORD64	0
SNORD108	0
SNORD109A	0
SNORD116-1	0
SNORD116-2	0
SNORD116-3	0
SNORD116-4	0
SNORD116-5	0
SNORD116-6	0
SNORD116-7	0
SNORD116-8	0
SNORD116-9	0
SNORD116-10	0
SNORD116-11	0
SNORD116-12	0
SNORD116-13	0
SNORD116-14	0
SNORD116-15	0
SNORD116-16	0
SNORD116-17	0
SNORD116-18	0
SNORD116-19	0
SNORD116-20	1
SNORD116-21	0
SNORD116-22	0
SNORD116-23	0
SNORD116-24	0
SNORD116-25	0
SNORD116-26	0
SNORD116-27	0
SNORD116-28	0
SNORD116-29	0
SNORD116-30	0
IPW	79
PWAR1	17
SNORD115-1	0
SNORD115-2	0
SNORD115-3	0
SNORD115-4	0
SNORD115-5	0
SNORD115-6	0
SNORD115-7	0
SNORD115-8	0
SNORD115-9	0
SNORD115-10	0
SNORD115-11	0
SNORD115-12	0
SNORD115-13	0
SNORD115-14	0
SNORD115-15	0
SNORD115-16	0
SNORD115-17	0
SNORD115-18	0
SNORD115-19	0
SNORD115-20	0
SNORD115-21	0
SNORD115-22	0
PWAR4	0
SNORD115-23	0
SNORD115-24	0
SNORD115-25	0
SNORD115-26	0
SNORD115-27	0
SNORD115-28	0
SNORD115-29	0
SNORD115-30	0
SNORD115-31	0
SNORD115-32	0
SNORD115-33	0
SNORD115-34	0
SNORD115-35	0
SNORD115-36	0
SNORD115-37	0
SNORD115-38	0
SNORD115-39	0
SNORD115-40	0
SNORD115-41	0
SNORD115-42	0
SNORD115-43	0
SNORD115-44	0
SNORD115-45	0
SNORD115-46	0
SNORD115-47	0
SNORD115-48	0
SNORD109B	0
UBE3A	34
ATP10A	15
MIR4715	0
LINC02346	0
TRE-TTC2-2	0
LINC00929	0
GABRB3	0
GABRA5	0
GABRG3	2
GABRG3-AS1	0
OCA2	28
HERC2	2162
GOLGA6L24	0
GOLGA8F	0
MIR4509-2	0
MIR4509-3	0
GOLGA8G	0
HERC2P11	0
HERC2P9	1
GOLGA8M	0
WHAMMP2	10
LOC100289656	0
PDCD6IPP2	6
GOLGA6L7	0
APBA2	452
ENTREP2	2
NSMCE3	127
TJP1	1214
GOLGA8J	0
ULK4P3	22
GOLGA8T	0
LINC02249	0
CHRFAM7A	0
GOLGA8R	0
NA	0
GOLGA8H	0
DNM1P50	0
ULK4P2	35
ARHGAP11B	3
LOC100288637	0
NA	0
HERC2P10	0
FAN1	200
MTMR10	3
TRPM1	0
MIR211	0
LINC02352	0
LINC03034	0
KLF13	1812
LOC105370939	0
OTUD7A	20
NA	0
CHRNA7	1
GOLGA8K	0
ULK4P1	33
GOLGA8O	0
LOC100653133	0
WHAMMP1	10
LINC02256	0
ARHGAP11A-DT	0
GOLGA8N	0
ARHGAP11A	6
SCG5	4
GREM1	1
GREM1-AS1	0
FMN1	4
TMCO5B	0
RYR3-DT	0
RYR3	41
AVEN	8
CHRM5	0
EMC7	411
PGBD4	7
KATNBL1	36
EMC4	379
SLC12A6	12
NOP10	2300
NUTM1	0
LPCAT4	29
GOLGA8A	26
MIR1233-1	0
GOLGA8B	16
MIR1233-2	0
GJD2	0
GJD2-DT	1
ACTC1	2
AQR	4
ZNF770	131
ANP32AP1	119
DPH6	0
MIR3942	0
DPH6-DT	0
MIR4510	0
CDIN1	164
CSNK1A1P1	0
LOC145845	0
MEIS2	86
MIR8063	0
TMCO5A	0
LINC02345	0
SPRED1	92
FAM98B	4
RASGRP1	346
LINC02694	0
LINC02915	0
THBS1	75
FSIP1	1
LOC105370941	0
GPR176	2
EIF2AK4	487
SRP14	54
SRP14-DT	2
BMF	498
BUB1B	23
PAK6	3
PAK6-AS1	0
ANKRD63	0
PLCB2	18
INAFM2	0
CCDC9B	305
PHGR1	0
DISP2	0
KNSTRN	0
IVD	14
BAHD1	657
CHST14	153
CCDC32	192
MRPL42P5	0
RPUSD2	85
TRS-GCT4-2	0
KNL1	7
RAD51-AS1	0
RAD51	19
RMDN3	13
GCHFR	53
DNAJC17	0
C15orf62	79
ZFYVE19	110
PPP1R14D	0
SPINT1	105
RHOV	17
VPS18	8
LOC105370943	0
DLL4	275
CHAC1	41
INO80	6
EXD1	2
CHP1	21
OIP5-AS1	3
OIP5	29
NUSAP1	60
NDUFAF1	22
RTF1	4
ITPKA	10
LTK	9
RPAP1	1
TYRO3	1
MGA	5
MIR626	0
MAPKBP1	19
JMJD7	0
JMJD7-PLA2G4B	0
PLA2G4B	0
SPTBN5	20
MIR4310	0
EHD4	18
EHD4-AS1	0
PLA2G4E-AS1	0
PLA2G4E	50
PLA2G4D	0
PLA2G4F	149
VPS39	523
MIR627	0
TMEM87A	14
GANC	540
CAPN3	385
ZNF106	306
SNAP23	1944
LRRC57	5
HAUS2	0
STARD9	6
CDAN1	3
TTBK2	4
UBR1	187
TMEM62	7
CCNDBP1	9
EPB42	0
TGM5	0
TGM7	0
LCMT2	157
ADAL	1
ZSCAN29	4
TUBGCP4	11
TP53BP1	1015
MAP1A	1
PPIP5K1	379
CKMT1B	1
STRC	0
CATSPER2	1
CKMT1A	3
CATSPER2P1	30
PDIA3	2222
ELL3	103
SERF2	0
SERF2-C15ORF63	0
MIR1282	0
SERINC4	0
HYPK	0
MFAP1	957
WDR76	56
FRMD5	25
PIN4P1	65
GOLM2	51
CTDSPL2	562
EIF3J-DT	1
EIF3J	48
SPG11	157
PATL2	5
B2M	2372
LOC100419583	0
TRIM69	2
TERB2	0
SORD	0
DUOX2	10
DUOXA2	0
DUOXA1	4
DUOX1	12
SHF	0
TRH-GTG1-7	0
TRH-GTG1-8	0
TRH-GTG1-9	0
NA	0
SLC28A2-AS1	0
SLC28A2	0
GATM	52
AFG2B	45
C15orf48	12
MIR147B	0
SLC30A4-AS1	0
SLC30A4	29
HMGN2P46	12
BLOC1S6	664
SQOR	250
SEMA6D	2
LINC01491	0
SLC24A5	0
MYEF2	219
CTXN2	0
SLC12A1	0
DUT	7
FBN1	294
CEP152	35
SHC4	0
EID1	2200
SECISBP2L	99
COPS2	173
GALK2	4
NDUFAF4P1	23
MIR4716	0
FAM227B	1
FGF7	1472
DTWD1	10
ATP8B4	0
SLC27A2	1
HDC	38
GABPB1	1
GABPB1-IT1	283
GABPB1-AS1	7
MIR4712	0
USP8	0
USP50	0
TRPM7	205
SPPL2A	1
AP4E1	12
DCAF13P3	237
TNFAIP8L3	4
NA	0
CYP19A1	0
MIR4713	0
MIR7973-2	0
MIR7973-1	0
GLDN	37
DMXL2	10
SCG3	0
LYSMD2	14
TMOD2	2
TMOD3	974
LOC100422556	0
LEO1	541
MAPK6	1
BCL2L10	0
GNB5	118
CERNA1	0
MYO5C	897
MIR1266	0
MYO5A	122
ARPP19	35
ATOSA	1910
ONECUT1	31
WDR72	2
NA	0
UNC13C	0
RSL24D1	6
RAB27A	1971
PIGB	0
CCPG1	36
DNAAF4-CCPG1	0
MIR628	0
PIERCE2	0
DNAAF4	0
PYGO1	10
PRTG	77
NEDD4	117
RFX7	59
TEX9	36
MNS1	23
ZNF280D	5
TCF12-DT	3
TCF12	520
LINC00926	42
LINC01413	0
CGNL1	10
GCOM1	0
MYZAP	0
POLR2M	0
ALDH1A2	0
AQP9	22
NA	0
LIPC	0
LIPC-AS1	0
NA	0
ADAM10	3
HSP90AB4P	6
MINDY2	11
SLTM	92
RNF111	6
CCNB2	1
MYO1E	12
MIR2116	0
LDHAL6B	248
FAM81A	1
GCNT3	0
GTF2A2	8
BNIP2	146
FOXB1	2
ANXA2	5183
ICE2	4
RORA-AS1	0
RORA	1
RORA-AS2	0
LOC101928850	0
LINC02349	0
VPS13C	28
C2CD4A	90
C2CD4B	546
NA	0
MIR8067	0
MIR6085	0
TLN2	1
MGC15885	0
MIR190A	0
TPM1	483
LACTB	8
RPS27L	2
RAB8B	7
APH1B	250
CA12	124
LINC02568	0
USP3	304
USP3-AS1	2
FBXL22	1
HERC1	26
MIR422A	0
DAPK2	30
LOC101928988	0
CIAO2A	39
SNX1	8
SNX22	0
PPIB	59
CSNK1G1	29
PCLAF	16
TRIP4	264
ZNF609	314
OAZ2	0
RBPMS2	3
MIR1272	0
PIF1	10
PLEKHO2	649
ANKDD1A	1
SPG21	25
MTFMT	160
SLC51B	0
RASL12	167
KBTBD13	0
UBAP1L	5
PDCD7	23
CLPX	40
CILP	389
PARP16	119
RNU5A-1	2
RNU5B-1	4
IGDCC3	0
IGDCC4	2
DPP8	58
HACD3	2
RNU6-19P	0
INTS14	0
SLC24A1	0
DENND4A	156
MIR4511	0
TRQ-CTG1-4	0
RAB11A	711
MEGF11	0
MIR4311	0
DIS3L	160
TIPIN	97
SCARNA14	41
MAP2K1	36
SNAPC5	14
MIR4512	0
RPL4	31
SNORD18C	0
SNORD18B	0
SNORD16	0
SNORD18A	0
ZWILCH	29
LCTL	1
LINC01169	0
SMAD6	445
SMASR	0
SMAD3	70
AAGAB	2
IQCH	0
IQCH-AS1	0
C15orf61	212
MAP2K5	248
SKOR1	0
SKOR1-AS1	0
RNU6-1	0
PIAS1	150
CALML4	7
CLN6	16
FEM1B	28
ITGA11	588
CORO2B	0
ANP32A	0
MIR4312	0
ANP32A-IT1	3
NOX5	16
SPESP1	0
EWSAT1	0
GLCE	1
PAQR5	111
KIF23	0
RPLP1	559
DRAIC	0
PCAT29	0
LINC00593	0
TLE3	10
MIR629	0
SALRNA3	0
SALRNA2	0
UACA	38
LARP6	0
LRRC49	3
THAP10	1
CT62	0
THSD4	28
THSD4-AS1	0
THSD4-AS2	0
NR2E3	0
MYO9A	6
SENP8	0
GRAMD2A	17
PKM	2
PARP6	800
CELF6	59
HEXA	3
HEXA-AS1	0
TMEM202	0
ARIH1	269
MIR630	0
GOLGA6B	0
NA	0
HIGD2B	0
BBS4	73
ADPGK	6
ADPGK-AS1	0
NEO1	27
HCN4	2
REC114	0
NPTN	3
NPTN-IT1	0
CD276	193
INSYN1	1
INSYN1-AS1	0
TBC1D21	0
LOXL1-AS1	6
LOXL1	43
STOML1	2
PML	397
GOLGA6A	1
COMMD4P2	0
LOC283731	9
ISLR2	5
ISLR	463
STRA6	2
CCDC33	22
CYP11A1	6
PPIAP46	3
SEMA7A	215
MIR6881	0
UBL7	2
UBL7-DT	0
ARID3B	2
CLK3	15
LOC102723750	0
EDC3	8
CYP1A1	0
CYP1A2	0
CSK	19
MIR4513	0
LMAN1L	0
CPLX3	5
ULK3	61
MIR6882	0
SCAMP2	20
MPI	18
FAM219B	485
COX5A	19
RPP25	4
SCAMP5	2
PPCDC	190
C15orf39	51
LOC105376731	0
GOLGA6C	0
GOLGA6D	0
COMMD4	540
NEIL1	46
MIR631	0
MAN2C1	11
SIN3A	12
PTPN9	195
SNUPN	0
IMP3	7
SNX33	311
CSPG4	5
CIMAP1C	14
DNM1P35	0
MIR4313	0
UBE2Q2	138
FBXO22	0
NA	0
NRG4	1
TMEM266	0
LOC101929439	0
ETFA	7
TYRO3P	53
ISL2	0
SCAPER	26
MIR3713	0
RCN2	264
PSTPIP1	7
TSPAN3	117
PEAK1	6
LINC00597	50
HMG20A	146
LINGO1	0
LINGO1-AS1	0
LINGO1-AS2	0
GOLGA6FP	1
COMMD4P1	0
LOC91450	79
TBC1D2B	32
SH2D7	4
CIB2	27
NA	0
IDH3A	9
ACSBG1	0
DNAJA4	417
SKIC8	6
CRABP1	0
IREB2	7
HYKK	1
PSMA4	7
CHRNA5	0
CHRNA3	0
CHRNB4	4
LOC646938	0
ADAMTS7	132
TRK-CTT1-2	1
MORF4L1	0
CTSH	2757
RASGRF1	0
ANKRD34C-AS1	0
MIR184	0
ANKRD34C	0
TMED3	545
MINAR1	26
TRC-GCA5-1	0
MTHFS	0
ST20-MTHFS	0
ST20	18
ST20-AS1	3
BCL2A1	20
ZFAND6	8
FAH	81
CTXND1	0
LINC00927	0
ARNT2	4
LOC101929586	0
MIR5572	0
ABHD17C	268
CEMIP	0
MIR549A	0
MESD	294
MIR4514	0
TLNRD1	128
CFAP161	1
IL16	3
STARD5	17
TMC3-AS1	0
TMC3	0
MEX3B	81
LINC01583	0
EFL1	1
SAXO2	1
ADAMTS7P1	0
GOLGA6L10	1
UBE2Q2P2	16
GOLGA6L9	5
LOC102724034	0
GOLGA2P10	771
GOLGA6L17P	1
RPS17	0
CPEB1	20
CPEB1-AS1	581
AP3B2	2
LOC338963	0
ACTG1P17	5
SNHG21	0
FSD2	1
SCARNA15	0
WHAMM	639
HOMER2	178
RAMAC	73
C15orf40	75
BTBD1	2487
MIR4515	0
TM6SF1	0
HDGFL3	194
NA	0
BNC1	1
SH3GL3	0
ADAMTSL3	2
EFL1P1	5
DNM1P41	8
UBE2Q2P16	2
LOC440300	52
GOLGA2P7	4
GOLGA6L4	3
LOC103171574	0
LOC102724135	51
GOLGA6L5P	2
UBE2Q2P1	775
LINC00933	12
ZSCAN2	40
SCAND2P	157
WDR73	178
NMB	0
SEC11A	54
ZNF592	533
ALPK3	10
SLC28A1	0
PDE8A	562
NA	0
LOC101929479	47
GOLGA6L3P	1
MIR7706	0
AKAP13	11
LINC02883	0
KLHL25	1
MIR1276	0
MIR548AP	0
AGBL1	0
LINC01584	0
AGBL1-AS1	0
LOC102724452	0
LINC00052	0
NTRK3	0
NTRK3-AS1	0
MRPL46	308
MRPS11	13
DET1	1
LINC01586	0
AEN	7
MIR1179	0
MIR7-2	0
MIR3529	0
ISG20	4
ACAN	4
HAPLN3	5
MFGE8	63
NA	0
ABHD2	40
RLBP1	0
FANCI	1
POLG	358
MIR6766	0
TRR-TCG1-1	0
MIR9-3	0
MIR9-3HG	0
LOC105371031	0
RHCG	1
LINC00928	0
TICRR	2
KIF7	1
PLIN1	0
PEX11A	45
WDR93	46
MESP1	0
MESP2	76
ANPEP	4
AP3S2	172
ARPIN-AP3S2	0
MIR5094	0
MIR5009	0
ARPIN	1
ZNF710	12
MIR3174	0
IDH2	13
SEMA4B	988
CIB1	30
GDPGP1	113
TTLL13	0
NGRN	23
GABARAPL3	716
ZNF774	0
IQGAP1	884
CRTC3	18
CRTC3-AS1	0
LINC01585	0
BLM	13
FURIN	8
FES	182
MAN2A2	17
UNC45A	14
HDDC3	0
RCCD1	2
PRC1	5
